customer_id,name,email,purchase_amount
1,Hailey Little,hailey.little@yahoo.com,,78.95
2,Mark Luna,mark.luna@gmail.com,830.34
3,Amy Chavez,amy.chavez@hotmail.com,839.99
,,,
,,,
nan,Sandra,sandra.holt@hotmail.com,423.25
7,Ashley Glenn,ashley.glenn@hotmail.com,418.04
8,Megan Evans,megan.evans@hotmail.com,371.34
9,Brooke Davis,brooke.davis@yahoo.com,296.73
10,Linda Ross,linda.ross@gmail.com,776.51
11,Christian,christian.robinson@yahoo.com,,159.41
12,Jennifer Simmons,jennifer.simmons@hotmail.com,49.48
13,Gabriel Preston,gabriel.preston@hotmail.com,277.89
14,Tami Ashley,tami.ashley@yahoo.com,632.72
15,  James Farmer   ,james.farmer@yahoo.com,148.23
16,Leon Griffin,leon.griffin@hotmail.com,440.0
17,Justin Anderson,justin.anderson@yahoo.com,718.240
18,Eric George,eric.george@hotmail.com,546.74
19,John Marshall,john.marshall@gmail.com,564.69
20,Angelica Butler,angelica.butler@yahoo.com,843.99
21,Kimberly Davis,kimberly.davis@yahoo.com,815.14
,22,Melissa Arellano,melissa.arellano@gmail.com,-834.03
23,Robert Avila,robert.avila@hotmail.com,694.43
24,Marcus Long Jr.,marcus.long@hotmail.com,731.94
25,Jeffrey Haley,jeffrey.haley@yahoo.com,707.01
,,,
27,  Charlotte Hahn   ,charlotte.hahn@gmail.com,324.07
28,Karen Williams,karen.williams@hotmail.com,433.18
29,,Charles Holmes,charles.holmes@gmail.com,465.5
30,Sarah Turner,sarah.turner@gmail.com,178.06
31,Laura,laura.lopez@hotmail.com,763.78
32,Bryan Brown,bryan.brown@yahoo.com,486.36
33,Michelle Erickson,michelle.erickson@gmail.com,998.18
34,Rachel Weaver,rachel.weaver@hotmail.com,365.23
35,Andrew Lopez,andrew.lopez@gmail.com,693.97
36,Brent Young,,777.45
37,Christopher Arnold,christopher.arnold@hotmail.com,ABC123
-463,Derek Wolfe,derek.wolfe@hotmail.com,982.73
,,,
40,Allison Meyer,allison.meyer@yahoo.com,495.32
41,Richard Baird,richard.baird@yahoo.com,146.22
42,Desiree Moreno,,439.51
43,William Johnson,william.johnson@hotmail.com,53.99
44,William Clark,william.clark@hotmail.com,22.66
45,Alyssa Price,alyssa.price@hotmail.com,578.64
46,Jacqueline Boyer,jacqueline.boyer@gmail.com,887.69
47,Justin Patterson,justin.patterson@,787.8
48,Thomas Johnston,thomas.johnston@yahoo.com,93.73
49,Amy Vincent,amy.vincent@gmail.com,941.47
50,Nancy Miles,nancy.miles@gmail.com,167.58
51,marissa nash,marissa.nash@yahoo.com,536.33
52,Carrie Lara,carrie.lara@gmail.com,224.28
53,William Doyle,william.doyle@gmail.com,379.2
54,Jason Brewer,jason.brewer@gmail.com,506.09
